PeakAcceleration,Feat1,Feat2,Feat3,Feat4,Feat5
0.041,0.651368285,-0.649844245,-0.180832033,1.855178334,-0.769820473
0.19,0.26145553,-0.386974848,0.063554578,0.988792849,-0.190170635
0.026,0.316235837,-1.632338513,0.399304292,0.158447124,0.008188989
0.127,0.244430549,-1.43174395,0.058677378,1.519410061,-0.491521021
0.015,0.536994894,-1.088673658,0.281308458,-1.266593217,0.354578966
0.076,-0.36425694,-1.220102517,-0.083933833,-0.967354971,0.401042102
0.241,1.032352115,-0.766112376,0.261526398,-1.167038556,0.572100095
0.565,1.462296102,1.255341067,-0.908238716,-0.896846059,0.363418645
1.472,-1.71951507,0.551955573,-1.255687926,1.563552443,-0.428126112
0.128,0.49281409,-1.526120247,0.410601059,0.205908853,0.069567763
0.501,-1.624226676,1.110339568,-1.20444979,-0.814100591,-0.002050519
0.206,0.638342848,-1.339151015,0.436979229,0.237697415,0.109177329
0.018,0.131818824,-1.248714666,0.448395782,-2.094803015,0.577910181
0.066,0.410390194,-1.478631534,0.353801378,0.228269914,-0.034836175
0.074,0.665228888,-0.961296662,0.160445327,-1.560786867,0.619906582
0.626,-0.417049545,2.376587224,-1.209500929,2.85181732,-1.001914833
0.501,0.709674628,-1.240931247,0.433889611,0.317407178,0.184551898
0.031,0.508465653,-1.422885528,0.358739299,0.258294032,-0.09255024
0.618,-0.496209381,-0.304298784,-1.207317249,1.360068885,-0.296709209
0.046,-1.441709255,-0.10604619,-1.11594083,-0.731344827,-0.070221988
0.094,2.277230593,0.943448186,0.266060066,-0.197139161,-0.085621676
0.097,-1.578952126,-0.279870634,-1.298600083,1.354868908,-0.655584059
0.143,-0.200103498,-1.015941987,-0.071877104,-0.84893555,0.421870869
0.008,-0.122082738,-1.884037678,0.387121616,-1.647204534,0.609910812
0.013,0.26337159,-1.378215574,0.302785693,-1.75221839,0.606711645
0.318,0.536482267,-1.441605055,0.192855372,1.026090021,-0.255343433
0.016,0.407044927,-1.492576723,0.399687864,0.463040948,-0.119189466
0.072,0.397030115,-1.482270782,0.388227794,0.194581299,-0.037532854
6.272,1.00580606,-0.425706114,0.758417982,1.103479025,1.492809483
